"dow","zm_infest2019"
"56003100",1
"49007900",1
"61006400",1
"21008500",1
"4003800",1
"56024100",1
"86028400",1
"62000200",1
"26009500",1
"56077000",1
"18003400",1
"27003100",1
"4013000",1
"18035500",1
"77008400",1
"3057600",1
"73010600",1
"56038600",1
"1015700",1
"18031500",1
"31053300",1
"82005400",1
"84002300",1
"21010200",1
"27006700",1
"4004200",1
"10008400",1
"21004900",1
"34006200",1
"21005700",1
"4003000",1
"86022700",1
"73013300",1
"21014500",1
"27013700",1
"18037400",1
"86025200",1
"13005300",1
"21010300",1
"38002400",1
"49013300",1
"18031200",1
"56074900",1
"18027100",1
"21008000",1
"56082400",1
"3038100",1
"34004400",1
"31088200",1
"34017100",1
"56025300",1
"56013800",1
"56052300",1
"56037800",1
"56051700",1
"56050100",1
"86028900",1
"18030500",1
"26004000",1
"34011900",1
"61018000",1
"3050300",1
"56076800",1
"49013700",1
"34021700",1
"3038700",1
"82015900",1
"56075900",1
"29006100",1
"21005200",1
"34014200",1
"18032000",1
"61007200",1
"21015000",1
"34007900",1
"77018200",1
"11030500",1
"11024200",1
"27001600",1
"18037500",1
"18044100",1
"21012300",1
"3058200",1
"27017600",1
"21007600",1
"19000400",1
"18026900",1
"21005500",1
"56087700",1
"62007800",1
"86028800",1
"56163600",1
"18036100",1
"73008600",1
"37004600",1
"39000200",1
"21010600",1
"21005600",1
"11020300",1
"56074700",1
"77008900",1
"56032800",1
"56076100",1
"18026600",1
"18013900",1
"31085300",1
"77016400",1
"31085000",1
"56076000",1
"21014400",1
"15008100",1
"56078400",1
"62006700",1
"10000600",1
"21009400",1
"18038800",1
"18040300",1
"18037800",1
"70002600",1
"18044000",1
"21007900",1
"19002600",1
"21009200",1
"3050000",1
"62005400",1
"27010400",1
"3047500",1
"21018000",1
"56092000",1
"48000200",1
"10002900",1
"21008300",1
"27013300",1
"10000900",1
"61013000",1
"27000300",1
"19000500",1
"25001700",1
"79000500",1
"85001300",1
"85000200",1
"85000100",1
"56030300",1
"77000700",1
"34015400",1
"18037200",1
"31065300",1
"34025100",1
"56094500",1
"77021500",1
"21025700",1
"18035200",1
"56024200",1
"56033500",1
"56078600",1
"18030800",1
"61011100",1
"25000100",1
"75007500",1
"3028700",1
"18035400",1
"69049000",1
"11041500",1
"4003200",1
"62004600",1
"21014000",1
"26009700",1
"56091500",1
"4000300",1
"19000300",1
"4003500",1
"61007800",1
"18014500",1
"10000200",1
"56036000",1
"56021400",1
"1020400",1
"18037300",1
"56164100",1
"56014100",1
"18031100",1
"18021200",1
"3035900",1
"31082600",1
"77015000",1
"18009000",1
"61014900",1
"44001400",1
"30013500",1
"11050400",1
"47006800",1
"62002800",1
"86023300",1
"16000100",1
"56078100",1
"56038700",1
"73024900",1
"56061300",1
"11041300",1
"21009000",1
"3058800",1
"18041200",1
"86013400",1
"70007200",1
"62003800",1
"21005400",1
"10001500",1
"10005900",1
"56031000",1
"73007000",1
"56023900",1
"56038600",1
"21021600",1
"82016700",1
"18031000",1
"11014700",1
"56078300",1
"55000400",1
